LID,TID,track.duration,track.length,meandering.index,euclidean.distance,mean.speed,track.present.at.start.or.end,track.never.divides,cell.line,clone,replicate,Unnamed: 0,lineage.id,tracking.id,n_frames,start_frame,total_path_length,final_displacement,volume,radius,sphericity,length.to.width.ratio,dry.mass,match_score
1,1,230,80.85,0.084018558,6.792900411,0.005384836,TRUE,FALSE,A1,cloneA,1,986,1919,1919,7,235,81.99975586,5.186858177,2483.193604,19.25241906,0.366014753,2.830036582,620.7978167,0.250450982
1,2,1587,633.822,0.202549464,128.3803066,0.004205486,FALSE,FALSE,A1,cloneA,1,37,63,63,84,5,597.2336426,128.7879639,2086.670525,23.04958151,0.232402892,1.683375689,521.6671477,0.060891887
1,3,1702,711.651,0.479299118,341.0936965,0.008773003,FALSE,FALSE,A1,cloneA,1,684,1392,1392,55,174,686.3935547,326.684967,1642.020588,18.52406068,0.305920814,2.562901002,410.5047635,0.077734068
1,4,2484,963.285,0.133813677,128.9007075,0.004205486,TRUE,FALSE,A1,cloneA,1,37,63,63,84,5,597.2336426,128.7879639,2086.670525,23.04958151,0.232402892,1.683375689,521.6671477,0.380877829
1,5,2484,870.399,0.106266073,92.49388374,0.007037096,TRUE,FALSE,A1,cloneA,1,711,1440,1440,57,179,577.1078491,85.32175446,1912.280588,20.96717222,0.266303557,2.859215269,478.0697096,0.414503388
1,7,1725,772.966,0.249194721,192.6190468,0.003817043,FALSE,FALSE,A1,cloneA,1,494,1073,1073,114,140,599.088623,186.2175446,1603.604488,19.88852996,0.259171268,5.167141604,400.9007551,0.258182291
1,8,2484,556.709,0.216371396,120.4559034,0.003925151,TRUE,FALSE,A1,cloneA,1,605,1260,1260,87,161,515.7254639,124.0342255,1851.299956,21.51800513,0.245956327,2.680382604,462.8245667,0.102466994
1,9,2484,1113.36,0.573760134,638.8015825,0.006151805,TRUE,FALSE,A1,cloneA,1,585,1230,1230,80,158,699.3121948,428.8816528,1683.287268,20.06491508,0.261802309,3.456091458,420.8214279,0.70050555
1,10,1334,501.488,0.421828061,211.5417107,0.004585965,FALSE,FALSE,A1,cloneA,1,718,1454,1454,79,181,509.0367737,226.2994843,2133.02108,23.24494268,0.231001558,2.875334198,533.2547781,0.08004299
1,11,4485,1305.945,0.238928412,312.0273645,0.008773003,TRUE,FALSE,A1,cloneA,1,684,1392,1392,55,174,686.3935547,326.684967,1642.020588,18.52406068,0.305920814,2.562901002,410.5047635,0.519276226
1,12,4439,1445.861,0.188391157,272.3874267,0.005086045,FALSE,FALSE,A1,cloneA,1,612,1271,1271,76,162,608.9274292,266.0681152,2123.083307,22.29437115,0.248750099,3.608059948,530.7703384,0.602047595
2,1,805,352.392,0.636820224,224.4103524,0.002860172,TRUE,FALSE,A1,cloneA,1,295,678,678,80,93,363.4847107,221.9875793,2467.430368,24.69496696,0.224193691,3.938599006,616.8570282,0.041313855
2,2,2070,890.779,0.510613608,454.8438791,0.006151805,FALSE,FALSE,A1,cloneA,1,585,1230,1230,80,158,699.3121948,428.8816528,1683.287268,20.06491508,0.261802309,3.456091458,420.8214279,0.272022529
2,3,1702,983.519,0.293068641,288.2385765,0.003427919,FALSE,FALSE,A1,cloneA,1,401,895,895,137,121,668.2682495,300.6270142,2052.475653,22.04787112,0.251225576,5.724307724,513.1184385,0.361742127
2,4,3473,1200.913,0.161750462,194.248233,0.003817043,TRUE,FALSE,A1,cloneA,1,494,1073,1073,114,140,599.088623,186.2175446,1603.604488,19.88852996,0.259171268,5.167141604,400.9007551,0.542481432
2,5,3473,1354.685,0.3244475,439.5241619,0.006151805,TRUE,FALSE,A1,cloneA,1,585,1230,1230,80,158,699.3121948,428.8816528,1683.287268,20.06491508,0.261802309,3.456091458,420.8214279,0.507996139
2,6,2024,836.591,0.299423365,250.494892,0.006079869,FALSE,FALSE,A1,cloneA,1,570,1202,1202,59,155,573.6516724,252.2979889,1695.85328,20.30479819,0.259842756,3.530050972,423.9629217,0.321445233
2,7,1794,812.233,0.477986034,388.2360303,0.005979293,FALSE,FALSE,A1,cloneA,1,224,525,525,77,74,680.6998901,365.577301,1856.471959,20.37351857,0.272524272,2.787730251,464.1175612,0.220303403
2,8,1288,576.585,0.893122821,514.9612215,0.005379107,FALSE,FALSE,A1,cloneA,1,545,1161,1161,31,151,549.7615967,427.7492981,3396.245668,29.5203439,0.195149655,4.119998204,849.0606335,0.215877453
2,9,1311,564.997,0.597922745,337.8245571,0.004815091,TRUE,FALSE,A1,cloneA,1,477,1043,1043,82,137,567.2178955,279.0410461,1661.195844,18.87538411,0.297785659,3.782515857,415.2985721,0.177921451
2,11,1081,359.29,0.127413414,45.77836559,0.006291047,TRUE,FALSE,A1,cloneA,1,4,8,8,43,3,383.4668884,36.1697197,1388.324619,17.48640455,0.305428908,2.954266641,347.0808347,0.272943087
2,12,1081,424.374,0.563256921,239.0315924,0.004749191,TRUE,FALSE,A1,cloneA,1,781,1569,1569,63,194,444.5269165,251.9078674,2166.276838,22.27383738,0.256275366,2.892256635,541.5687072,0.096450667
3,1,920,472.282,0.717434667,338.8314794,0.007540902,TRUE,FALSE,A1,cloneA,1,379,845,845,43,117,437.1079407,338.8217163,1753.323015,18.91217624,0.304491368,3.403271875,438.3303457,0.074505629
3,2,2576,1207.186,0.600524236,724.9444504,0.006151805,FALSE,FALSE,A1,cloneA,1,585,1230,1230,80,158,699.3121948,428.8816528,1683.287268,20.06491508,0.261802309,3.456091458,420.8214279,0.829102597
3,3,2093,1140.36,0.022381473,25.52293684,0.005373196,FALSE,FALSE,A1,cloneA,1,510,1101,1101,85,144,662.414978,24.64881134,1742.320699,19.83895245,0.275380915,3.203181174,435.5797701,0.453366292
3,4,2576,1207.565,0.296689203,358.2714976,0.005979293,FALSE,FALSE,A1,cloneA,1,224,525,525,77,74,680.6998901,365.577301,1856.471959,20.37351857,0.272524272,2.787730251,464.1175612,0.456288019
3,5,2990,1157.447,0.139974093,162.0125946,0.006697005,FALSE,FALSE,A1,cloneA,1,17,24,24,60,1,571.6314697,179.2698669,1697.420392,19.39068219,0.28533056,3.570293387,424.3547094,0.602391516
3,6,1012,509.618,0.661162123,336.9401189,0.003118044,FALSE,FALSE,A1,cloneA,1,535,1144,1144,101,149,493.4305115,374.3514709,2601.382108,25.85886715,0.212765026,2.613328724,650.3449224,0.131700402
3,7,1840,946.558,0.165753396,156.8952034,0.006697005,FALSE,FALSE,A1,cloneA,1,17,24,24,60,1,571.6314697,179.2698669,1697.420392,19.39068219,0.28533056,3.570293387,424.3547094,0.520904571
3,8,621,350.432,0.879206974,308.1022584,0.003486665,TRUE,FALSE,A1,cloneA,1,764,1538,1538,74,191,353.3253479,307.7530518,1825.502291,21.13523414,0.252243573,4.395129736,456.3751497,0.009322317
3,9,598,270.977,0.664471106,180.0563868,0.003316636,FALSE,FALSE,A1,cloneA,1,740,1495,1495,57,186,273.6463013,171.3504028,1485.395343,18.73683357,0.277261257,2.931067055,371.3484925,0.058105998
4,1,713,413.709,0.48578187,200.9723318,0.002243075,TRUE,FALSE,A1,cloneA,1,420,932,932,134,126,426.7359314,194.2303619,1624.385166,19.33901299,0.275690037,5.034342808,406.0959147,0.064073671
4,2,1311,513.025,0.564192115,289.4446599,0.00228411,FALSE,FALSE,A1,cloneA,1,189,442,442,86,64,456.6655579,292.6361694,3092.813738,28.64162234,0.194842137,2.543023058,773.2027134,0.120763173
4,3,1219,316.408,0.496680108,157.1535597,0.005347513,FALSE,FALSE,A1,cloneA,1,897,1760,1760,39,214,303.2902527,156.5107727,1340.444937,18.11486591,0.277548897,4.398966521,335.1109181,0.045548514
4,4,1656,871.95,0.658243339,573.9552793,0.006151805,FALSE,FALSE,A1,cloneA,1,585,1230,1230,80,158,699.3121948,428.8816528,1683.287268,20.06491508,0.261802309,3.456091458,420.8214279,0.450751689
4,5,1495,702.706,0.817628397,574.5523803,0.006151805,FALSE,FALSE,A1,cloneA,1,585,1230,1230,80,158,699.3121948,428.8816528,1683.287268,20.06491508,0.261802309,3.456091458,420.8214279,0.25836739
4,6,1587,834.639,0.308581491,257.5541468,0.005086045,FALSE,FALSE,A1,cloneA,1,612,1271,1271,76,162,608.9274292,266.0681152,2123.083307,22.29437115,0.248750099,3.608059948,530.7703384,0.302429381
4,7,1725,855.568,0.509369844,435.8005387,0.006151805,FALSE,FALSE,A1,cloneA,1,585,1230,1230,80,158,699.3121948,428.8816528,1683.287268,20.06491508,0.261802309,3.456091458,420.8214279,0.198510266
4,8,2415,503.517,0.505795067,254.6764146,0.005076007,FALSE,FALSE,A1,cloneA,1,340,766,766,59,105,487.6856995,251.5574188,2101.024306,22.95401806,0.234459243,2.646283851,525.2555961,0.043688339
4,9,2438,1176.674,0.320351,376.9486928,0.005979293,TRUE,FALSE,A1,cloneA,1,224,525,525,77,74,680.6998901,365.577301,1856.471959,20.37351857,0.272524272,2.787730251,464.1175612,0.451672064
4,10,1886,774.832,0.530973059,411.4149171,0.006151805,FALSE,FALSE,A1,cloneA,1,585,1230,1230,80,158,699.3121948,428.8816528,1683.287268,20.06491508,0.261802309,3.456091458,420.8214279,0.138192275
4,11,2162,992.601,0.434706335,431.4899424,0.006151805,FALSE,FALSE,A1,cloneA,1,585,1230,1230,80,158,699.3121948,428.8816528,1683.287268,20.06491508,0.261802309,3.456091458,420.8214279,0.301519869
4,12,391,186.532,0.603688278,112.6071819,0.004418227,TRUE,FALSE,A1,cloneA,1,402,899,899,25,122,189.655014,116.9246826,2772.867754,26.00782059,0.220373017,2.488705293,693.2162891,0.053392301
4,13,391,178.361,0.146025477,26.04525003,0.004300898,TRUE,FALSE,A1,cloneA,1,964,1879,1879,30,231,201.8777771,24.51780319,1859.562138,20.8571605,0.261043692,4.953386536,464.8901082,0.175136061
4,14,2254,965.399,0.501264668,483.9204088,0.006151805,TRUE,FALSE,A1,cloneA,1,585,1230,1230,80,158,699.3121948,428.8816528,1683.287268,20.06491508,0.261802309,3.456091458,420.8214279,0.3893588
4,15,1403,778.39,0.545418273,424.5481295,0.006151805,FALSE,FALSE,A1,cloneA,1,585,1230,1230,80,158,699.3121948,428.8816528,1683.287268,20.06491508,0.261802309,3.456091458,420.8214279,0.111695737
4,16,667,352.838,0.237955382,83.95970102,0.00377484,TRUE,FALSE,A1,cloneA,1,775,1559,1559,64,193,360.1300964,75.37095642,2221.852915,23.5882768,0.230542279,3.832666435,555.4627128,0.122544542
4,17,667,272.739,0.685905421,187.0731586,0.00574624,TRUE,FALSE,A1,cloneA,1,601,1255,1255,30,161,271.0300903,201.6960449,1531.375854,19.78094355,0.254141169,3.997719608,382.8436086,0.078765351
4,18,2024,970.779,0.569666573,553.0203459,0.006151805,FALSE,FALSE,A1,cloneA,1,585,1230,1230,80,158,699.3121948,428.8816528,1683.287268,20.06491508,0.261802309,3.456091458,420.8214279,0.504112118
4,19,1541,835.371,0.445430242,372.0995064,0.005979293,FALSE,FALSE,A1,cloneA,1,224,525,525,77,74,680.6998901,365.577301,1856.471959,20.37351857,0.272524272,2.787730251,464.1175612,0.202680718
4,20,782,437.449,0.246301579,107.7443796,0.004578551,TRUE,FALSE,A1,cloneA,1,700,1423,1423,67,177,439.9593201,120.805542,2229.830761,22.10524461,0.264525088,2.795687598,557.457177,0.113823046
4,21,782,389.749,0.050891789,19.8350238,0.005462559,TRUE,FALSE,A1,cloneA,1,26,44,44,34,3,342.7573853,19.84973335,1870.292577,20.97678863,0.262315872,2.61158681,467.5727081,0.121309962
4,22,253,111.955,0.902557154,101.0457861,0.008499706,FALSE,FALSE,A1,cloneA,1,462,1023,1023,10,135,109.6979904,100.2793503,1050.638959,15.63725128,0.331613174,3.036661632,262.659494,0.027745006
4,23,253,83.49,0.789906133,65.94926306,0.004393232,FALSE,FALSE,A1,cloneA,1,429,963,963,14,129,84.34494019,67.84694672,2372.657985,23.15684768,0.249027568,3.39205266,593.1639513,0.038106303
5,1,1104,568.971,0.559759329,318.4868252,0.004815091,TRUE,FALSE,A1,cloneA,1,477,1043,1043,82,137,567.2178955,279.0410461,1661.195844,18.87538411,0.297785659,3.782515857,415.2985721,0.126934907
5,2,2576,1005.48,0.163378994,164.2743113,0.006697005,FALSE,FALSE,A1,cloneA,1,17,24,24,60,1,571.6314697,179.2698669,1697.420392,19.39068219,0.28533056,3.570293387,424.3547094,0.515131941
5,3,2346,1019.837,0.199633971,203.5941105,0.003817043,FALSE,FALSE,A1,cloneA,1,494,1073,1073,114,140,599.088623,186.2175446,1603.604488,19.88852996,0.259171268,5.167141604,400.9007551,0.497913398
5,4,2346,558.373,0.334606302,186.8351249,0.006697005,TRUE,FALSE,A1,cloneA,1,17,24,24,60,1,571.6314697,179.2698669,1697.420392,19.39068219,0.28533056,3.570293387,424.3547094,0.063685712
5,5,2346,730.982,0.445960009,325.9887393,0.008773003,TRUE,FALSE,A1,cloneA,1,684,1392,1392,55,174,686.3935547,326.684967,1642.020588,18.52406068,0.305920814,2.562901002,410.5047635,0.063129197
5,6,2576,1019.776,0.203753487,207.7829161,0.004246189,TRUE,FALSE,A1,cloneA,1,241,560,560,94,78,563.1832886,215.2829742,2133.156724,22.70906799,0.239627016,4.266836501,533.288684,0.482576379
5,7,2576,790.942,0.059423345,47.00041908,0.003525281,TRUE,FALSE,A1,cloneA,1,323,731,731,107,100,621.3228149,52.65205383,1572.02265,19.65598376,0.265108669,4.685543031,393.0052945,0.321791418
6,1,805,318.356,0.302192297,96.20473096,0.00907986,TRUE,FALSE,A1,cloneA,1,21,36,36,24,2,304.2819824,98.93615723,1448.723028,18.64266404,0.279564851,2.203671709,362.1804237,0.071816394
6,2,3243,1020.787,0.39295741,401.1258162,0.006151805,FALSE,FALSE,A1,cloneA,1,585,1230,1230,80,158,699.3121948,428.8816528,1683.287268,20.06491508,0.261802309,3.456091458,420.8214279,0.379645162
6,3,2024,773.692,0.411188962,318.1336103,0.008773003,FALSE,FALSE,A1,cloneA,1,684,1392,1392,55,174,686.3935547,326.684967,1642.020588,18.52406068,0.305920814,2.562901002,410.5047635,0.139009745
6,4,2001,529.212,0.656874477,347.6258557,0.003118044,TRUE,FALSE,A1,cloneA,1,535,1144,1144,101,149,493.4305115,374.3514709,2601.382108,25.85886715,0.212765026,2.613328724,650.3449224,0.139004542
6,5,1978,522.176,0.775261318,404.8228541,0.005597434,FALSE,FALSE,A1,cloneA,1,793,1590,1590,68,195,545.9285278,420.9108887,1953.75501,21.48185996,0.255895399,3.118364013,488.4383038,0.081730443
6,6,3174,998.128,0.301845158,301.2801035,0.003427919,FALSE,FALSE,A1,cloneA,1,401,895,895,137,121,668.2682495,300.6270142,2052.475653,22.04787112,0.251225576,5.724307724,513.1184385,0.332646121
6,7,3174,1057.96,0.252018045,266.6250105,0.005086045,FALSE,FALSE,A1,cloneA,1,612,1271,1271,76,162,608.9274292,266.0681152,2123.083307,22.29437115,0.248750099,3.608059948,530.7703384,0.426521149
7,1,943,364.176,0.554378548,201.8913621,0.005336873,TRUE,FALSE,A1,cloneA,1,24,42,42,39,3,359.8017578,195.1682739,1622.542506,19.49429468,0.278349554,2.784555437,405.6352531,0.045311865
7,2,1748,662.202,0.1956545,129.5628014,0.004205486,FALSE,FALSE,A1,cloneA,1,37,63,63,84,5,597.2336426,128.7879639,2086.670525,23.04958151,0.232402892,1.683375689,521.6671477,0.104089977
7,3,3197,1255.817,0.11060965,138.9054787,0.004205486,FALSE,FALSE,A1,cloneA,1,37,63,63,84,5,597.2336426,128.7879639,2086.670525,23.04958151,0.232402892,1.683375689,521.6671477,0.597263623
7,4,3312,865.998,0.258653641,223.9935358,0.004246189,FALSE,FALSE,A1,cloneA,1,241,560,560,94,78,563.1832886,215.2829742,2133.156724,22.70906799,0.239627016,4.266836501,533.288684,0.388558933
7,5,3312,991.377,0.314794801,312.0803256,0.008773003,FALSE,FALSE,A1,cloneA,1,684,1392,1392,55,174,686.3935547,326.684967,1642.020588,18.52406068,0.305920814,2.562901002,410.5047635,0.352341774
7,6,1863,840.677,0.705621618,593.1998651,0.006151805,FALSE,FALSE,A1,cloneA,1,585,1230,1230,80,158,699.3121948,428.8816528,1683.287268,20.06491508,0.261802309,3.456091458,420.8214279,0.445159027
7,7,1886,793.849,0.142716556,113.2953953,0.004205486,TRUE,FALSE,A1,cloneA,1,37,63,63,84,5,597.2336426,128.7879639,2086.670525,23.04958151,0.232402892,1.683375689,521.6671477,0.367968655
8,1,1426,621.935,0.284133882,176.7128057,0.003817043,TRUE,FALSE,A1,cloneA,1,494,1073,1073,114,140,599.088623,186.2175446,1603.604488,19.88852996,0.259171268,5.167141604,400.9007551,0.087775398
8,2,1863,858.824,0.071227827,61.17216727,0.004130649,FALSE,FALSE,A1,cloneA,1,411,915,915,98,123,563.8022461,62.67755127,1400.249905,18.47594522,0.276662766,3.972675143,350.0621515,0.367536206
8,3,1863,573.444,0.126498288,72.53968431,0.004130649,FALSE,FALSE,A1,cloneA,1,411,915,915,98,123,563.8022461,62.67755127,1400.249905,18.47594522,0.276662766,3.972675143,350.0621515,0.152768771
8,4,1725,504.663,0.347856003,175.550054,0.006697005,FALSE,FALSE,A1,cloneA,1,17,24,24,60,1,571.6314697,179.2698669,1697.420392,19.39068219,0.28533056,3.570293387,424.3547094,0.137903019
8,5,2737,1009.013,0.138677491,139.9273909,0.004205486,TRUE,FALSE,A1,cloneA,1,37,63,63,84,5,597.2336426,128.7879639,2086.670525,23.04958151,0.232402892,1.683375689,521.6671477,0.487709766
8,6,2714,822.914,0.434128345,357.2502929,0.005979293,FALSE,FALSE,A1,cloneA,1,224,525,525,77,74,680.6998901,365.577301,1856.471959,20.37351857,0.272524272,2.787730251,464.1175612,0.195595401
8,7,2553,904.38,0.262180449,237.1107542,0.005003589,FALSE,FALSE,A1,cloneA,1,713,1445,1445,72,179,573.78479,237.7076721,2187.420012,21.97413136,0.263525124,4.230353051,546.8544985,0.368060149
8,8,161,25.373,0.743942381,18.87605004,0.004409911,TRUE,FALSE,A1,cloneA,1,1053,2038,2038,5,248,24.34270859,19.08456421,1228.55293,17.07499313,0.290872997,2.865302183,307.1379456,0.05153162
8,9,138,20.658,0.397506315,8.211685454,0.004716488,FALSE,FALSE,A1,cloneA,1,518,1113,1113,4,145,19.52625847,7.665716171,1305.873993,17.74031115,0.284028668,3.475588868,326.4682083,0.121271534
9,1,1219,527.543,0.607200201,320.3242156,0.007656209,TRUE,FALSE,A1,cloneA,1,377,843,843,42,116,446.1505127,320.3253479,1614.064744,20.15097069,0.254284915,2.255648005,403.5158139,0.154289512
9,2,2024,1114.189,0.447846871,498.9860573,0.006151805,FALSE,FALSE,A1,cloneA,1,585,1230,1230,80,158,699.3121948,428.8816528,1683.287268,20.06491508,0.261802309,3.456091458,420.8214279,0.512851371
9,3,1334,838.307,0.523836503,439.1358077,0.006151805,FALSE,FALSE,A1,cloneA,1,585,1230,1230,80,158,699.3121948,428.8816528,1683.287268,20.06491508,0.261802309,3.456091458,420.8214279,0.189154941
9,4,1541,829.826,0.462713719,383.971875,0.005979293,FALSE,FALSE,A1,cloneA,1,224,525,525,77,74,680.6998901,365.577301,1856.471959,20.37351857,0.272524272,2.787730251,464.1175612,0.227613731
9,5,3473,1456.22,0.284054367,413.6456503,0.006151805,TRUE,FALSE,A1,cloneA,1,585,1230,1230,80,158,699.3121948,428.8816528,1683.287268,20.06491508,0.261802309,3.456091458,420.8214279,0.555300682
9,6,1886,964.192,0.226338767,218.2340285,0.004246189,FALSE,FALSE,A1,cloneA,1,241,560,560,94,78,563.1832886,215.2829742,2133.156724,22.70906799,0.239627016,4.266836501,533.288684,0.429423735
9,7,1909,493.424,0.746714804,368.4470053,0.003118044,TRUE,FALSE,A1,cloneA,1,535,1144,1144,101,149,493.4305115,374.3514709,2601.382108,25.85886715,0.212765026,2.613328724,650.3449224,0.015785715
10,1,1357,477.113,0.275642126,131.5124418,0.005468544,TRUE,FALSE,A1,cloneA,1,213,500,500,63,71,493.6966553,119.9095001,1465.039259,18.23505653,0.289814484,4.195622205,366.2594769,0.121817729
10,2,598,333.869,0.678474345,226.5215511,0.005728992,FALSE,FALSE,A1,cloneA,1,382,854,854,38,118,337.3942871,208.3703766,2134.052612,23.28550514,0.226296284,2.214202638,533.51266,0.090578579
10,3,1886,708.876,0.175592242,124.4731258,0.004205486,FALSE,FALSE,A1,cloneA,1,37,63,63,84,5,597.2336426,128.7879639,2086.670525,23.04958151,0.232402892,1.683375689,521.6671477,0.190995509
10,4,1058,351.872,0.353138666,124.2596085,0.004358756,FALSE,FALSE,A1,cloneA,1,214,501,501,55,71,342.1271057,127.1202316,1952.673138,21.54072675,0.253396207,2.357388224,488.1678239,0.050197717
10,5,2714,1128.75,0.404739336,456.8495251,0.006151805,FALSE,FALSE,A1,cloneA,1,585,1230,1230,80,158,699.3121948,428.8816528,1683.287268,20.06491508,0.261802309,3.456091458,420.8214279,0.441673315
10,6,46,15.923,0.988180873,15.73480403,0.006037037,TRUE,FALSE,A1,cloneA,1,575,1212,1212,1,158,15.80419254,15.71758747,3838.50708,31.37594032,0.187683076,1.427719223,959.6259155,0.008555544
10,7,46,37.654,0.998497479,37.59742409,0.005451096,TRUE,FALSE,A1,cloneA,1,313,710,710,2,97,37.61256027,37.61256027,2855.766479,24.16325188,0.255336866,2.52565397,713.9409485,0.001502963
1,1,1012,236.924,0.311660946,73.83995802,0.003663401,TRUE,FALSE,B2,cloneB,2,4625,2720,2720,44,129,234.443573,72.25875854,1370.128404,26.09361549,0.138416544,1.576017821,342.5317799,0.031883167
