LID	TID	track.duration	track.length	meandering.index	euclidean.distance	mean.speed	track.present.at.start.or.end	track.never.divides	cell.line
1	1	230	80.85	0.084018558	6.792900411	0.351521739	TRUE	FALSE	A1
1	2	1587	633.822	0.202549464	128.3803066	0.399383743	FALSE	FALSE	A1
1	3	1702	711.651	0.479299118	341.0936965	0.418126322	FALSE	FALSE	A1
1	4	2484	963.285	0.133813677	128.9007075	0.387795894	TRUE	FALSE	A1
1	5	2484	870.399	0.106266073	92.49388374	0.350402174	TRUE	FALSE	A1
1	7	1725	772.966	0.249194721	192.6190468	0.448096232	FALSE	FALSE	A1
1	8	2484	556.709	0.216371396	120.4559034	0.224117955	TRUE	FALSE	A1
1	9	2484	1113.36	0.573760134	638.8015825	0.44821256	TRUE	FALSE	A1
1	10	1334	501.488	0.421828061	211.5417107	0.375928036	FALSE	FALSE	A1
1	11	4485	1305.945	0.238928412	312.0273645	0.291180602	TRUE	FALSE	A1
1	12	4439	1445.861	0.188391157	272.3874267	0.325717729	FALSE	FALSE	A1
2	1	805	352.392	0.636820224	224.4103524	0.437754037	TRUE	FALSE	A1
2	2	2070	890.779	0.510613608	454.8438791	0.430328019	FALSE	FALSE	A1
2	3	1702	983.519	0.293068641	288.2385765	0.577860752	FALSE	FALSE	A1
2	4	3473	1200.913	0.161750462	194.248233	0.345785488	TRUE	FALSE	A1
2	5	3473	1354.685	0.3244475	439.5241619	0.390061906	TRUE	FALSE	A1
2	6	2024	836.591	0.299423365	250.494892	0.413335474	FALSE	FALSE	A1
2	7	1794	812.233	0.477986034	388.2360303	0.452749721	FALSE	FALSE	A1
2	8	1288	576.585	0.893122821	514.9612215	0.44765916100000003	FALSE	FALSE	A1
2	9	1311	564.997	0.597922745	337.8245571	0.430966438	TRUE	FALSE	A1
2	11	1081	359.29	0.127413414	45.77836559	0.332368178	TRUE	FALSE	A1
2	12	1081	424.374	0.563256921	239.0315924	0.392575393	TRUE	FALSE	A1
3	1	920	472.282	0.717434667	338.8314794	0.51335	TRUE	FALSE	A1
3	2	2576	1207.186	0.600524236	724.9444504	0.468628106	FALSE	FALSE	A1
3	3	2093	1140.36	0.022381473	25.52293684	0.54484472	FALSE	FALSE	A1
3	4	2576	1207.565	0.296689203	358.2714976	0.468775233	FALSE	FALSE	A1
3	5	2990	1157.447	0.139974093	162.0125946	0.38710602	FALSE	FALSE	A1
3	6	1012	509.618	0.661162123	336.9401189	0.503575099	FALSE	FALSE	A1
3	7	1840	946.558	0.165753396	156.8952034	0.514433696	FALSE	FALSE	A1
3	8	621	350.432	0.879206974	308.1022584	0.564302738	TRUE	FALSE	A1
3	9	598	270.977	0.664471106	180.0563868	0.453138796	FALSE	FALSE	A1
4	1	713	413.709	0.48578187	200.9723318	0.580237027	TRUE	FALSE	A1
4	2	1311	513.025	0.564192115	289.4446599	0.391323417	FALSE	FALSE	A1
4	3	1219	316.408	0.496680108	157.1535597	0.259563577	FALSE	FALSE	A1
4	4	1656	871.95	0.658243339	573.9552793	0.526539855	FALSE	FALSE	A1
4	5	1495	702.706	0.817628397	574.5523803	0.470037458	FALSE	FALSE	A1
4	6	1587	834.639	0.308581491	257.5541468	0.525922495	FALSE	FALSE	A1
4	7	1725	855.568	0.509369844	435.8005387	0.495981449	FALSE	FALSE	A1
4	8	2415	503.517	0.505795067	254.6764146	0.208495652	FALSE	FALSE	A1
4	9	2438	1176.674	0.320351	376.9486928	0.482639048	TRUE	FALSE	A1
4	10	1886	774.832	0.530973059	411.4149171	0.41083351	FALSE	FALSE	A1
4	11	2162	992.601	0.434706335	431.4899424	0.459112396	FALSE	FALSE	A1
4	12	391	186.532	0.603688278	112.6071819	0.477063939	TRUE	FALSE	A1
4	13	391	178.361	0.146025477	26.04525003	0.45616624	TRUE	FALSE	A1
4	14	2254	965.399	0.501264668	483.9204088	0.428304791	TRUE	FALSE	A1
4	15	1403	778.39	0.545418273	424.5481295	0.554803991	FALSE	FALSE	A1
4	16	667	352.838	0.237955382	83.95970102	0.528992504	TRUE	FALSE	A1
4	17	667	272.739	0.685905421	187.0731586	0.408904048	TRUE	FALSE	A1
4	18	2024	970.779	0.569666573	553.0203459	0.479633893	FALSE	FALSE	A1
4	19	1541	835.371	0.445430242	372.0995064	0.54209669	FALSE	FALSE	A1
4	20	782	437.449	0.246301579	107.7443796	0.559397698	TRUE	FALSE	A1
4	21	782	389.749	0.050891789	19.8350238	0.498400256	TRUE	FALSE	A1
4	22	253	111.955	0.902557154	101.0457861	0.442509881	FALSE	FALSE	A1
4	23	253	83.49	0.789906133	65.94926306	0.33	FALSE	FALSE	A1
5	1	1104	568.971	0.559759329	318.4868252	0.515372283	TRUE	FALSE	A1
5	2	2576	1005.48	0.163378994	164.2743113	0.390326087	FALSE	FALSE	A1
5	3	2346	1019.837	0.199633971	203.5941105	0.434713129	FALSE	FALSE	A1
5	4	2346	558.373	0.334606302	186.8351249	0.238010656	TRUE	FALSE	A1
5	5	2346	730.982	0.445960009	325.9887393	0.31158653	TRUE	FALSE	A1
5	6	2576	1019.776	0.203753487	207.7829161	0.395875776	TRUE	FALSE	A1
5	7	2576	790.942	0.059423345	47.00041908	0.307042702	TRUE	FALSE	A1
6	1	805	318.356	0.302192297	96.20473096	0.395473292	TRUE	FALSE	A1
6	2	3243	1020.787	0.39295741	401.1258162	0.314766266	FALSE	FALSE	A1
6	3	2024	773.692	0.411188962	318.1336103	0.382258893	FALSE	FALSE	A1
6	4	2001	529.212	0.656874477	347.6258557	0.264473763	TRUE	FALSE	A1
6	5	1978	522.176	0.775261318	404.8228541	0.263991911	FALSE	FALSE	A1
6	6	3174	998.128	0.301845158	301.2801035	0.314470069	FALSE	FALSE	A1
6	7	3174	1057.96	0.252018045	266.6250105	0.333320731	FALSE	FALSE	A1
7	1	943	364.176	0.554378548	201.8913621	0.386188759	TRUE	FALSE	A1
7	2	1748	662.202	0.1956545	129.5628014	0.378834096	FALSE	FALSE	A1
7	3	3197	1255.817	0.11060965	138.9054787	0.392811073	FALSE	FALSE	A1
7	4	3312	865.998	0.258653641	223.9935358	0.261472826	FALSE	FALSE	A1
7	5	3312	991.377	0.314794801	312.0803256	0.299328804	FALSE	FALSE	A1
7	6	1863	840.677	0.705621618	593.1998651	0.451249061	FALSE	FALSE	A1
7	7	1886	793.849	0.142716556	113.2953953	0.420916755	TRUE	FALSE	A1
8	1	1426	621.935	0.284133882	176.7128057	0.436139551	TRUE	FALSE	A1
8	2	1863	858.824	0.071227827	61.17216727	0.460989801	FALSE	FALSE	A1
8	3	1863	573.444	0.126498288	72.53968431	0.307806763	FALSE	FALSE	A1
8	4	1725	504.663	0.347856003	175.550054	0.292558261	FALSE	FALSE	A1
8	5	2737	1009.013	0.13867749100000001	139.9273909	0.368656558	TRUE	FALSE	A1
8	6	2714	822.914	0.434128345	357.2502929	0.303210759	FALSE	FALSE	A1
8	7	2553	904.38	0.262180449	237.1107542	0.354242068	FALSE	FALSE	A1
8	8	161	25.373	0.743942381	18.87605004	0.157596273	TRUE	FALSE	A1
8	9	138	20.658	0.397506315	8.211685454	0.149695652	FALSE	FALSE	A1
9	1	1219	527.543	0.607200201	320.3242156	0.432767022	TRUE	FALSE	A1
9	2	2024	1114.189	0.447846871	498.9860573	0.550488636	FALSE	FALSE	A1
9	3	1334	838.307	0.523836503	439.1358077	0.628416042	FALSE	FALSE	A1
9	4	1541	829.826	0.462713719	383.971875	0.538498378	FALSE	FALSE	A1
9	5	3473	1456.22	0.284054367	413.6456503	0.419297437	TRUE	FALSE	A1
9	6	1886	964.192	0.226338767	218.2340285	0.511236479	FALSE	FALSE	A1
9	7	1909	493.424	0.746714804	368.4470053	0.258472499	TRUE	FALSE	A1
10	1	1357	477.113	0.275642126	131.5124418	0.351593957	TRUE	FALSE	A1
10	2	598	333.869	0.678474345	226.5215511	0.558309365	FALSE	FALSE	A1
10	3	1886	708.876	0.175592242	124.4731258	0.375862142	FALSE	FALSE	A1
10	4	1058	351.872	0.353138666	124.2596085	0.332582231	FALSE	FALSE	A1
10	5	2714	1128.75	0.404739336	456.8495251	0.415899042	FALSE	FALSE	A1
10	6	46	15.923	0.988180873	15.73480403	0.346152174	TRUE	FALSE	A1
10	7	46	37.654	0.998497479	37.59742409	0.818565217	TRUE	FALSE	A1
1	1	1012	236.924	0.31166094619929996	73.83995801732294	0.23411462450592885	TRUE	FALSE	B2
1	2	2806	882.721	0.12657839648498462	111.73340872362212	0.3145833927298646	FALSE	FALSE	B2
1	3	2093	533.167	0.03443941548424031	18.361959835485955	0.25473817486860967	FALSE	FALSE	B2
1	4	2185	573.452	0.440855359269704	252.8093874839303	0.26244942791762016	TRUE	FALSE	B2
1	5	2185	620.73	0.2353629877995151	146.096867416793	0.28408695652173915	TRUE	FALSE	B2
1	6	2254	568.795	0.4312631368618025	245.30031593130897	0.25234915705412597	FALSE	FALSE	B2
1	7	2898	595.706	0.07343609079372078	43.746319902364235	0.2055576259489303	TRUE	FALSE	B2
1	8	621	150.635	0.5857145059806822	88.22910460840006	0.2425684380032206	TRUE	FALSE	B2
1	9	598	129.251	0.45011818993684904	58.17822616752768	0.21613879598662208	FALSE	FALSE	B2
2	1	1449	237.236	0.1419138888311848	33.667083330754956	0.1637239475500345	TRUE	FALSE	B2
2	2	1380	400.391	0.19654730293572928	78.69577116973959	0.2901384057971015	FALSE	FALSE	B2
2	3	2185	669.681	0.07431983684295435	49.77058265682651	0.3064901601830664	FALSE	FALSE	B2
2	4	2438	607.918	0.25166402908651175	152.99109323421405	0.24935110746513536	FALSE	FALSE	B2
2	5	3105	638.444	0.10917061853702129	69.69932638125002	0.20561803542673107	FALSE	FALSE	B2
2	6	1242	289.27	0.4127945853647014	119.40908970844715	0.23290660225442833	FALSE	FALSE	B2
2	7	1081	315.438	0.6505680465046617	205.21388345333747	0.2918020351526364	FALSE	FALSE	B2
2	8	690	238.344	0.9013717027420048	214.83653711834037	0.3454260869565217	FALSE	FALSE	B2
2	9	713	184.837	0.3976944514410819	73.50864932101526	0.2592384291725105	TRUE	FALSE	B2
2	10	23	5.494	1.0000743577351423	5.494408521396871	0.2388695652173913	FALSE	FALSE	B2
2	11	23	13.554	1.0000038348219298	13.554051977176435	0.589304347826087	FALSE	FALSE	B2
2	12	1081	246.985	0.7121549474412034	175.89158969376564	0.22847826086956524	FALSE	FALSE	B2
2	13	1081	303.637	0.7464521491689236	226.65049121720443	0.28088529139685475	FALSE	FALSE	B2
2	14	1265	385.837	0.3204602190529393	123.64540953872894	0.30500948616600787	TRUE	FALSE	B2
2	15	1265	448.364	0.06034458159457485	27.05633798206996	0.3544379446640316	TRUE	FALSE	B2
3	1	2116	715.054	0.5216243845070012	372.98960263926926	0.3379272211720227	TRUE	FALSE	B2
3	2	2001	310.422	0.40978150698320503	127.20519496074049	0.15513343328335832	FALSE	FALSE	B2
3	3	2300	534.598	0.386031871694904	206.37186654435223	0.23243391304347824	FALSE	FALSE	B2
3	4	1886	316.44	0.055983630922185	17.71546016901622	0.16778366914103923	TRUE	FALSE	B2
3	5	736	148.675	0.0509849315239262	7.580184694319728	0.20200407608695653	FALSE	FALSE	B2
3	6	1587	169.952	0.6124188389813703	104.08180652256183	0.10709010712035288	TRUE	FALSE	B2
3	7	1587	292.777	0.18124736011685055	53.06505835293116	0.18448456206679267	TRUE	FALSE	B2
4	1	575	210.781	0.3350609169773964	70.62447514141259	0.3665756521739131	TRUE	FALSE	B2
4	2	1426	393.661	0.33713600348821715	132.71729626917505	0.2760596072931276	FALSE	FALSE	B2
4	3	1288	318.255	0.1416124984598548	45.06888569734109	0.24709239130434785	FALSE	FALSE	B2
4	4	3105	627.598	0.19938235539045485	125.13196747833868	0.20212495974235103	FALSE	FALSE	B2
4	5	2438	478.466	0.14173020936716238	67.81308635506872	0.196253486464315	FALSE	FALSE	B2
4	6	2392	486.147	0.0672095527457362	32.673722438681416	0.2032387123745819	FALSE	FALSE	B2
4	7	2484	425.734	0.2878444650662396	122.54517549051045	0.171390499194847	FALSE	FALSE	B2
4	8	874	162.645	0.33466549446898536	54.43166934790813	0.18609267734553775	TRUE	FALSE	B2
4	9	874	153.361	0.6170333595050179	94.62885304704903	0.17547025171624714	TRUE	FALSE	B2
4	10	1518	384.749	0.10058346588309829	38.699387915056185	0.2534578392621871	FALSE	FALSE	B2
4	11	943	193.389	0.3114704642388505	60.23496160868706	0.20507847295864265	FALSE	FALSE	B2
4	12	1127	295.647	0.4043268510952795	119.53802054576612	0.26233096716947646	FALSE	FALSE	B2
4	13	1725	424.611	0.1251958844837281	53.159549706520274	0.2461513043478261	TRUE	FALSE	B2
4	14	1610	451.702	0.29172731882066927	131.77381336593396	0.28056024844720495	FALSE	FALSE	B2
4	15	1610	381.927	0.3861991673445426	147.49988938639913	0.2372217391304348	FALSE	FALSE	B2
4	16	598	131.393	0.23571963989687303	30.97191064496984	0.2197207357859532	FALSE	FALSE	B2
4	17	598	138.469	0.6429304187552856	89.02593215462564	0.2315535117056856	FALSE	FALSE	B2
4	18	552	77.391	0.6106381356231299	47.25789595400965	0.14020108695652175	FALSE	FALSE	B2
4	19	552	140.48	0.6890245737693553	96.79417212311904	0.2544927536231884	FALSE	FALSE	B2
5	1	3013	527.904	0.02724611151897093	14.38333125531083	0.17520876203119817	TRUE	FALSE	B2
5	2	1656	536.719	0.4425141962441289	237.50577689395263	0.32410567632850246	FALSE	FALSE	B2
5	3	2806	877.302	0.3224854432711861	282.9171243526981	0.3126521739130435	FALSE	FALSE	B2
5	4	1334	378.575	0.18126360613303005	68.62186969181184	0.28378935532233884	TRUE	FALSE	B2
5	5	1334	349.457	0.4036520909759594	141.05904875618583	0.2619617691154423	TRUE	FALSE	B2
5	6	184	20.088	0.5247800919378386	10.541782486847302	0.10917391304347826	TRUE	FALSE	B2
5	7	184	50.382	0.923568781800516	46.531242364673595	0.2738152173913043	TRUE	FALSE	B2
6	1	0	0	NA	0	NA	TRUE	FALSE	B2
6	2	2139	462.828	0.09758717726363948	45.16607807857572	0.2163758765778401	FALSE	FALSE	B2
6	3	1863	400.609	0.226100500955217	90.57789558716853	0.21503435319377348	FALSE	FALSE	B2
6	4	1564	422.605	0.20425487491536912	86.31913141360958	0.27020780051150894	FALSE	FALSE	B2
6	5	2185	625.395	0.1310063293068996	81.93070331688847	0.2862219679633867	FALSE	FALSE	B2
6	6	1794	474.864	0.2139059209747072	101.57622125773334	0.26469565217391305	FALSE	FALSE	B2
6	7	1564	473.92	0.27775239181932493	131.63241353101446	0.30301790281329927	FALSE	FALSE	B2
6	8	2116	695.252	0.2418864311471894	168.17202502794572	0.3285689981096408	FALSE	FALSE	B2
6	9	2208	617.138	0.2791848035714358	172.29555130646878	0.27950090579710146	FALSE	FALSE	B2
6	10	1633	369.921	0.2503272212776457	92.60129602224796	0.2265284751990202	FALSE	FALSE	B2
6	11	1633	442.46	0.4216095020798178	186.54534029023617	0.2709491733006736	FALSE	FALSE	B2
6	12	2346	453.835	0.3298967971957392	149.7187129553283	0.19345055413469736	TRUE	FALSE	B2
6	13	2093	512.367	0.17354085323824486	88.9166063511198	0.24480028666985187	FALSE	FALSE	B2
6	14	2576	618.527	0.24879718051054417	153.88777366964536	0.24011141304347827	TRUE	FALSE	B2
6	15	2231	596.615	0.10432518112961732	62.24196793964664	0.2674204392649036	FALSE	FALSE	B2
6	16	161	45.539	0.9267844385578496	42.20483654748591	0.28285093167701864	TRUE	FALSE	B2
6	17	161	40.948	0.7412768034085765	30.35380254597439	0.2543354037267081	TRUE	FALSE	B2
6	18	230	47.353	0.7219136320171238	34.18477621690686	0.20588260869565217	TRUE	FALSE	B2
6	19	207	33.403	0.21274805110094383	7.106423150924827	0.1613671497584541	FALSE	FALSE	B2
6	20	138	21.197	0.9167753793671772	19.432887716446057	0.15360144927536232	FALSE	FALSE	B2
6	21	138	23.684	0.4205483052146344	9.960266060703402	0.1716231884057971	FALSE	FALSE	B2
7	1	736	176.381	0.7478931856328793	131.91414797511288	0.23964809782608695	TRUE	FALSE	B2
7	2	1909	523.867	0.5203683959920518	272.6038305031682	0.2744195914091147	FALSE	FALSE	B2
7	3	1587	467.551	0.11481476042959268	53.68175605361648	0.29461310649023315	FALSE	FALSE	B2
7	4	3335	790.091	0.5076180647932896	401.064464430595	0.2369088455772114	FALSE	FALSE	B2
7	5	3335	883.507	0.389063333828474	343.7401788807935	0.26491964017991004	FALSE	FALSE	B2
7	6	3680	1076.962	0.07179754944618144	77.32323244665845	0.29265271739130433	TRUE	FALSE	B2
7	7	3657	1018.203	0.390485520346667	397.59352827353734	0.27842575881870385	FALSE	FALSE	B2
8	1	2553	524.912	0.19544939196735336	102.59373123636738	0.20560595377986685	TRUE	FALSE	B2
8	2	1426	526.605	0.07217210469519818	38.006191193014836	0.3692882187938289	FALSE	FALSE	B2
8	3	1219	466.623	0.5819515022796387	271.55195584823184	0.382791632485644	FALSE	FALSE	B2
8	4	2001	910.025	0.06297976686919232	57.31316234513674	0.45478510744627687	FALSE	FALSE	B2
8	5	2024	654.924	0.30632075309062573	200.61681289712496	0.3235790513833992	TRUE	FALSE	B2
8	6	2231	619.677	0.24814381380755612	153.76901410882496	0.27775750784401615	TRUE	FALSE	B2
8	7	2208	592.305	0.26676344271766206	158.0053209388848	0.2682540760869565	FALSE	FALSE	B2
9	1	943	158.763	0.2548346127655283	40.45830762649357	0.16835949098621422	TRUE	FALSE	B2
9	2	2254	567.504	0.4379012254174824	248.51069702932293	0.25177639751552794	FALSE	FALSE	B2
9	3	1909	636.144	0.1286187705304624	81.82005916033047	0.3332341540073337	FALSE	FALSE	B2
9	4	2806	905.361	0.2945799968515855	266.7012405295483	0.322651817533856	TRUE	FALSE	B2
9	5	2806	728.045	0.03523575359155376	25.653214223562752	0.25946008553100497	TRUE	FALSE	B2
9	6	2231	612.593	0.1250215431591066	76.58732218846659	0.27458225011205734	FALSE	FALSE	B2
9	7	2438	495.064	0.5667521434369809	280.5785831384855	0.20306152584085316	FALSE	FALSE	B2
9	8	874	229.277	0.7944733953578879	182.15447666747045	0.2623306636155606	FALSE	FALSE	B2
9	9	874	201.771	0.4575768323850743	92.32573504716883	0.23085926773455376	FALSE	FALSE	B2
9	10	690	119.761	0.49982761809512793	59.85985537069062	0.17356666666666665	TRUE	FALSE	B2
9	11	690	201.843	0.8397520973480632	169.49808258502512	0.2925260869565217	TRUE	FALSE	B2
